tree_id,lon,lat,x,y
49,-73.12271739211226,7.141925325471318,1105472.3596033573,1281630.9696215196
50,-73.1182432220095,7.141909016671013,1105966.6541861298,1281630.1923416492
51,-73.11882373150543,7.141878097949096,1105902.5285831755,1281626.6390622423
52,-73.11928664171401,7.141848440125558,1105851.3946608198,1281623.2523428074
53,-73.11939768804677,7.141856702106615,1105839.1247402544,1281624.1406626592
54,-73.11900574053938,7.141836813501498,1105882.4303422496,1281622.0309030113
55,-73.11874028976736,7.141886959816732,1105911.7449036,1281627.6384220754
56,-73.1183689091328,7.141885183946666,1105952.7741854903,1281627.527382094
57,-73.12109979896648,7.141869269122018,1105651.078491591,1281625.1400224925
58,-73.12103042021862,7.141882176240861,1105658.740251944,1281626.5835422515
59,-73.12266724974502,7.141871010024845,1105477.911603613,1281624.9734625202
60,-73.12045155591478,7.141846842506501,1105722.6992948905,1281622.8081828817
61,-73.12130088179464,7.14183906639581,1105628.8704905678,1281621.7533030577
62,-73.12098831050102,7.141831892969051,1105663.4039321588,1281621.031543178
63,-73.11841683629504,7.141796436788659,1105947.4997852475,1281617.7003437341
64,-73.1188956846901,7.141835580916837,1105894.5892228098,1281621.9198630298
65,-73.11874452658999,7.141783063036768,1105911.3007435796,1281616.1457839934
66,-73.1191068195182,7.141804898091248,1105871.2708217355,1281618.4776236042
67,-73.11938780532125,7.141775866112639,1105840.2351403057,1281615.201944151
68,-73.1199725492162,7.141642053003222,1105775.6653773307,1281600.2670666436
69,-73.12148996496933,7.1417792230880615,1105607.994969606,1281615.0909041695
70,-73.12025738097842,7.141696855704195,1105744.1855358805,1281606.2632256427
71,-73.12048340221294,7.141757559761583,1105719.2015347295,1281612.925624531
72,-73.11884051213421,7.141783764459267,1105900.6964230912,1281616.2013039843
73,-73.11824221024179,7.141671085870253,1105966.8207461375,1281603.8758660413
74,-73.12179808109553,7.141753759556104,1105573.961208038,1281612.2038646513
75,-73.12166842162884,7.141754494863991,1105588.285368698,1281612.3149046327
76,-73.11863664094693,7.1417050351240094,1105923.2375441296,1281607.5401854296
77,-73.12219308072237,7.14175608351999,1105530.3224860276,1281612.3704246236
78,-73.12158501221717,7.1417477965711065,1105597.5016891225,1281611.5931447532
79,-73.12071878867656,7.141664683491159,1105693.2181735323,1281602.5989062544
80,-73.12258285333385,7.14161332991641,1105487.2944840451,1281596.4917072735
81,-73.12112521528095,7.141730278977652,1105648.302491463,1281609.760985059
82,-73.12142268610084,7.141748966083676,1105615.4346499487,1281611.7597047254
83,-73.11892756368196,7.141730737646057,1105891.0914626487,1281610.3161849664
84,-73.12059004775246,7.1417070830517915,1105707.4312941872,1281607.3181054667
85,-73.11878082607303,7.141727420983083,1105907.3033033954,1281609.983065022
86,-73.12104688665642,7.141696987258396,1105656.9636118622,1281606.0966656706
87,-73.12038700802053,7.141711681471083,1105729.8613752206,1281607.873305374
88,-73.119013704192,7.141632532575876,1105881.5975422112,1281599.4342667824
89,-73.12164773667337,7.141309213693673,1105590.672728808,1281563.0686728514
90,-73.11939760554289,7.14165491423944,1105839.180260257,1281601.821626384
91,-73.11884525670514,7.141677358933068,1105900.196743068,1281604.4310659484
92,-73.12116106513866,7.141649035821672,1105644.3605712815,1281600.76674656
93,-73.1232542980659,7.141595142736587,1105413.1197606279,1281594.3264276348
94,-73.11759017170715,7.141300287717756,1106038.9412294603,1281563.0131528608
95,-73.11722862363123,7.141644381294876,1106078.8045912967,1281601.1553864952
96,-73.12089875189255,7.14164046064844,1105673.3420126166,1281599.8784267083
97,-73.11738943141206,7.141648229687037,1106061.0381904782,1281601.5440264305
98,-73.12042934519398,7.141652538069084,1105725.1976950057,1281601.3219464675
99,-73.12102751155574,7.141589025759982,1105659.1288919619,1281594.1598676627
100,-73.12155657131775,7.141649353529614,1105600.6663292684,1281600.7112265693
101,-73.12051934193371,7.141633148331086,1105715.259614548,1281599.1566668288
102,-73.12078120371667,7.141617126759974,1105686.3336932152,1281597.3245071345
103,-73.12174605375172,7.141639204947395,1105579.735288304,1281599.5453067638
104,-73.12297788624429,7.141599590543132,1105443.6557620347,1281594.8816275422
105,-73.11935459125708,7.141556440859304,1105843.954980477,1281590.9397082
106,-73.11732132059186,7.141535147131028,1106068.588910826,1281589.0520285151
107,-73.12050389236897,7.141570873293442,1105716.9807346272,1281592.2721879778
108,-73.1204023375849,7.141348294529534,1105728.2512951463,1281567.6768320824
109,-73.1202336063245,7.1415296538395685,1105746.8504960032,1281587.7750687283
110,-73.11965262069614,7.141548024431201,1105811.0316189602,1281589.940348367
111,-73.12157694427755,7.141518886205556,1105598.4455291661,1281586.2760289784
112,-73.1191380445353,7.1415313950795,1105867.8841015794,1281588.2192286542
113,-73.11707060929851,7.1415060136199155,1106096.2933921025,1281585.8873890433
114,-73.12299366405085,7.141503748833701,1105441.9346419554,1281584.277309312
115,-73.12001759547319,7.141488546874817,1105770.724097103,1281583.2779494787
